# grcolor, gmag
6.250000000000000000e-01 1.224399999999999977e+01
6.520000000000001350e-01 1.231800000000000139e+01
6.909999999999998366e-01 1.233900000000000041e+01
7.630000000000003446e-01 1.199200000000000088e+01
7.949999999999999289e-01 1.183099999999999952e+01
8.189999999999995062e-01 1.170400000000000063e+01
8.469999999999999751e-01 1.158800000000000097e+01
8.740000000000001101e-01 1.146799999999999997e+01
9.009999999999998010e-01 1.135099999999999909e+01
9.260000000000001563e-01 1.124900000000000055e+01
9.590000000000005187e-01 1.116700000000000159e+01
9.939999999999997726e-01 1.107000000000000028e+01
1.011000000000000121e+00 1.094000000000000128e+01
1.032000000000000028e+00 1.080100000000000016e+01
1.060999999999999943e+00 1.070500000000000007e+01
1.088999999999999524e+00 1.065399999999999991e+01
9.969999999999998863e-01 1.086100000000000065e+01
1.001999999999999780e+00 1.085399999999999920e+01
1.037000000000000810e+00 1.077100000000000080e+01
1.070000000000000284e+00 1.067699999999999960e+01
1.081999999999999851e+00 1.069399999999999906e+01
1.197999999999999510e+00 1.054800000000000004e+01
1.309000000000000163e+00 1.049600000000000044e+01
1.616999999999999993e+00 1.076699999999999946e+01
1.619000000000000661e+00 1.067999999999999972e+01
1.621999999999999886e+00 1.062100000000000044e+01
1.628999999999999559e+00 1.060200000000000031e+01
1.653999999999999915e+00 1.066499999999999915e+01
