# g, gerr, r, rerr
2.133299999999999841e+01 5.099999999999999672e-02 1.988599999999999923e+01 2.900000000000000147e-02
2.285000000000000142e+01 1.690000000000000113e-01 2.136400000000000077e+01 7.499999999999999722e-02
2.090299999999999869e+01 3.699999999999999817e-02 2.055300000000000082e+01 3.599999999999999728e-02
1.913700000000000045e+01 2.000000000000000042e-02 1.857700000000000173e+01 1.299999999999999940e-02
2.170700000000000074e+01 6.800000000000000488e-02 2.132400000000000162e+01 8.300000000000000433e-02
1.842999999999999972e+01 1.499999999999999944e-02 1.770899999999999963e+01 1.099999999999999936e-02
2.189399999999999835e+01 7.199999999999999456e-02 2.034900000000000020e+01 2.900000000000000147e-02
2.087500000000000000e+01 3.799999999999999906e-02 2.035600000000000165e+01 3.099999999999999978e-02
2.113700000000000045e+01 4.000000000000000083e-02 1.960200000000000031e+01 2.299999999999999961e-02
1.912099999999999866e+01 1.899999999999999953e-02 1.880199999999999960e+01 1.600000000000000033e-02
2.184700000000000131e+01 7.900000000000000078e-02 2.145299999999999940e+01 1.019999999999999934e-01
2.010000000000000142e+01 1.899999999999999953e-02 1.976999999999999957e+01 2.599999999999999881e-02
2.149200000000000088e+01 4.900000000000000189e-02 2.115299999999999869e+01 6.400000000000000133e-02
2.346000000000000085e+01 3.310000000000000164e-01 2.175300000000000011e+01 1.179999999999999938e-01
2.312600000000000122e+01 1.960000000000000075e-01 2.140599999999999881e+01 8.799999999999999489e-02
1.652700000000000102e+01 8.999999999999999320e-03 1.550399999999999956e+01 1.099999999999999936e-02
2.074099999999999966e+01 3.200000000000000067e-02 1.936100000000000065e+01 1.899999999999999953e-02
2.130499999999999972e+01 4.700000000000000011e-02 2.087900000000000134e+01 5.299999999999999850e-02
2.055399999999999849e+01 2.699999999999999969e-02 2.023499999999999943e+01 2.900000000000000147e-02
2.171499999999999986e+01 8.400000000000000522e-02 2.107499999999999929e+01 5.999999999999999778e-02
2.130799999999999983e+01 5.399999999999999939e-02 2.098499999999999943e+01 5.700000000000000205e-02
1.693100000000000094e+01 8.999999999999999320e-03 1.644699999999999918e+01 1.000000000000000021e-02
1.451399999999999935e+01 8.000000000000000167e-03 1.375000000000000000e+01 1.099999999999999936e-02
2.086599999999999966e+01 2.900000000000000147e-02 2.046600000000000108e+01 4.100000000000000172e-02
1.896300000000000097e+01 1.700000000000000122e-02 1.847200000000000131e+01 1.299999999999999940e-02
2.107499999999999929e+01 4.200000000000000261e-02 1.955399999999999849e+01 2.199999999999999872e-02
2.205600000000000094e+01 7.499999999999999722e-02 2.067000000000000171e+01 4.100000000000000172e-02
2.172800000000000153e+01 8.400000000000000522e-02 2.083200000000000074e+01 6.900000000000000577e-02
2.226300000000000168e+01 1.209999999999999964e-01 2.146099999999999852e+01 1.039999999999999952e-01
1.955600000000000094e+01 1.700000000000000122e-02 1.927299999999999969e+01 1.700000000000000122e-02
2.043299999999999983e+01 2.699999999999999969e-02 2.007000000000000028e+01 2.400000000000000050e-02
2.253200000000000003e+01 1.479999999999999927e-01 2.173100000000000165e+01 9.099999999999999756e-02
2.136799999999999855e+01 4.700000000000000011e-02 2.036299999999999955e+01 3.099999999999999978e-02
2.285500000000000043e+01 2.389999999999999902e-01 2.140899999999999892e+01 6.900000000000000577e-02
2.238400000000000034e+01 1.059999999999999970e-01 2.164000000000000057e+01 7.399999999999999634e-02
1.989000000000000057e+01 2.100000000000000130e-02 1.887000000000000099e+01 1.600000000000000033e-02
2.187500000000000000e+01 6.700000000000000400e-02 2.140200000000000102e+01 6.900000000000000577e-02
1.970100000000000051e+01 1.799999999999999864e-02 9.999899999999999523e+01 9.999000000000000554e+00
2.176000000000000156e+01 6.199999999999999956e-02 9.999899999999999523e+01 9.999000000000000554e+00
2.169999999999999929e+01 6.800000000000000488e-02 2.120599999999999952e+01 5.099999999999999672e-02
1.702899999999999991e+01 1.099999999999999936e-02 1.625600000000000023e+01 1.200000000000000025e-02
2.000199999999999889e+01 2.400000000000000050e-02 1.969800000000000040e+01 1.899999999999999953e-02
2.248999999999999844e+01 9.299999999999999933e-02 2.181299999999999883e+01 1.120000000000000023e-01
2.157700000000000173e+01 6.400000000000000133e-02 2.041100000000000136e+01 3.899999999999999994e-02
1.938299999999999912e+01 1.899999999999999953e-02 1.913100000000000023e+01 1.799999999999999864e-02
2.054599999999999937e+01 2.900000000000000147e-02 2.026099999999999923e+01 2.900000000000000147e-02
1.979400000000000048e+01 2.800000000000000058e-02 1.953399999999999892e+01 2.000000000000000042e-02
1.916700000000000159e+01 1.600000000000000033e-02 1.872899999999999920e+01 1.299999999999999940e-02
1.752299999999999969e+01 8.999999999999999320e-03 1.648400000000000176e+01 1.200000000000000025e-02
2.235999999999999943e+01 8.899999999999999578e-02 2.183899999999999864e+01 9.600000000000000200e-02
2.078900000000000148e+01 3.699999999999999817e-02 2.043199999999999861e+01 3.599999999999999728e-02
2.027599999999999980e+01 2.900000000000000147e-02 1.880300000000000082e+01 1.299999999999999940e-02
2.091700000000000159e+01 3.699999999999999817e-02 1.950199999999999889e+01 2.000000000000000042e-02
1.963100000000000023e+01 2.000000000000000042e-02 1.819200000000000017e+01 1.200000000000000025e-02
2.332400000000000162e+01 3.920000000000000151e-01 2.121699999999999875e+01 7.000000000000000666e-02
1.539199999999999946e+01 1.299999999999999940e-02 1.501800000000000068e+01 8.999999999999999320e-03
1.887000000000000099e+01 1.299999999999999940e-02 1.807900000000000063e+01 1.200000000000000025e-02
1.934299999999999997e+01 1.799999999999999864e-02 1.880699999999999861e+01 1.600000000000000033e-02
2.103500000000000014e+01 4.299999999999999656e-02 2.077700000000000102e+01 4.399999999999999745e-02
2.214699999999999847e+01 1.000000000000000056e-01 2.157400000000000162e+01 7.900000000000000078e-02
2.143100000000000094e+01 5.700000000000000205e-02 2.110800000000000054e+01 5.399999999999999939e-02
2.157799999999999940e+01 5.500000000000000028e-02 2.111400000000000077e+01 5.800000000000000294e-02
1.646999999999999886e+01 7.000000000000000146e-03 1.593099999999999916e+01 8.999999999999999320e-03
1.495100000000000051e+01 2.000000000000000042e-02 1.425000000000000000e+01 6.199999999999999956e-02
2.041900000000000048e+01 5.099999999999999672e-02 2.004299999999999926e+01 4.900000000000000189e-02
2.316400000000000148e+01 2.520000000000000018e-01 2.170499999999999829e+01 1.049999999999999961e-01
1.981299999999999883e+01 2.599999999999999881e-02 1.955099999999999838e+01 1.700000000000000122e-02
2.169900000000000162e+01 5.099999999999999672e-02 2.121499999999999986e+01 5.199999999999999761e-02
2.054700000000000060e+01 2.199999999999999872e-02 2.021399999999999864e+01 2.999999999999999889e-02
9.999899999999999523e+01 9.999000000000000554e+00 9.999899999999999523e+01 9.999000000000000554e+00
2.223100000000000165e+01 1.059999999999999970e-01 2.073199999999999932e+01 6.300000000000000044e-02
2.206599999999999895e+01 7.900000000000000078e-02 2.133699999999999974e+01 6.800000000000000488e-02
2.088800000000000168e+01 3.099999999999999978e-02 2.054299999999999926e+01 4.200000000000000261e-02
1.684499999999999886e+01 1.600000000000000033e-02 1.631500000000000128e+01 1.499999999999999944e-02
2.129200000000000159e+01 4.100000000000000172e-02 2.133200000000000074e+01 7.000000000000000666e-02
2.294000000000000128e+01 1.340000000000000080e-01 2.152799999999999869e+01 8.899999999999999578e-02
2.141799999999999926e+01 5.199999999999999761e-02 2.100799999999999912e+01 5.800000000000000294e-02
2.274299999999999855e+01 1.580000000000000016e-01 2.202599999999999980e+01 1.160000000000000059e-01
2.014000000000000057e+01 2.800000000000000058e-02 1.985099999999999909e+01 2.599999999999999881e-02
2.186799999999999855e+01 7.900000000000000078e-02 2.132000000000000028e+01 6.400000000000000133e-02
2.142999999999999972e+01 4.000000000000000083e-02 2.101000000000000156e+01 5.600000000000000117e-02
2.143400000000000105e+01 6.400000000000000133e-02 2.091300000000000026e+01 4.900000000000000189e-02
1.895100000000000051e+01 1.899999999999999953e-02 1.856299999999999883e+01 1.400000000000000029e-02
1.999800000000000111e+01 2.400000000000000050e-02 1.964199999999999946e+01 2.400000000000000050e-02
2.212600000000000122e+01 9.299999999999999933e-02 2.157799999999999940e+01 1.130000000000000032e-01
2.096300000000000097e+01 3.899999999999999994e-02 2.059600000000000009e+01 4.000000000000000083e-02
1.841900000000000048e+01 1.299999999999999940e-02 1.799399999999999977e+01 1.400000000000000029e-02
2.165099999999999980e+01 5.899999999999999689e-02 2.065299999999999869e+01 4.700000000000000011e-02
2.327400000000000091e+01 1.930000000000000049e-01 2.175600000000000023e+01 8.699999999999999400e-02
2.191799999999999926e+01 6.900000000000000577e-02 2.128300000000000125e+01 6.199999999999999956e-02
2.039300000000000068e+01 2.599999999999999881e-02 2.010800000000000054e+01 2.699999999999999969e-02
2.091499999999999915e+01 3.200000000000000067e-02 2.060099999999999909e+01 3.099999999999999978e-02
2.216300000000000026e+01 1.079999999999999988e-01 2.076899999999999835e+01 4.499999999999999833e-02
2.098499999999999943e+01 3.400000000000000244e-02 2.060999999999999943e+01 3.300000000000000155e-02
1.855900000000000105e+01 1.200000000000000025e-02 1.792099999999999937e+01 1.299999999999999940e-02
2.083299999999999841e+01 2.900000000000000147e-02 2.049099999999999966e+01 3.899999999999999994e-02
2.180099999999999838e+01 5.899999999999999689e-02 2.134400000000000119e+01 7.399999999999999634e-02
2.044800000000000040e+01 3.099999999999999978e-02 2.005000000000000071e+01 2.800000000000000058e-02
2.185099999999999909e+01 6.900000000000000577e-02 2.119099999999999895e+01 5.600000000000000117e-02
2.185699999999999932e+01 1.079999999999999988e-01 2.031200000000000117e+01 5.700000000000000205e-02
2.062900000000000134e+01 2.900000000000000147e-02 2.034199999999999875e+01 3.500000000000000333e-02
2.230799999999999983e+01 1.019999999999999934e-01 2.175300000000000011e+01 1.049999999999999961e-01
9.999899999999999523e+01 9.999000000000000554e+00 2.228999999999999915e+01 1.400000000000000133e-01
2.211299999999999955e+01 9.199999999999999845e-02 2.148699999999999832e+01 7.099999999999999367e-02
2.179100000000000037e+01 6.600000000000000311e-02 2.020299999999999940e+01 3.200000000000000067e-02
2.294600000000000151e+01 1.900000000000000022e-01 2.171799999999999997e+01 9.299999999999999933e-02
2.125700000000000145e+01 4.800000000000000100e-02 2.047100000000000009e+01 3.599999999999999728e-02
2.278800000000000026e+01 1.590000000000000024e-01 2.133299999999999841e+01 8.400000000000000522e-02
1.589600000000000080e+01 1.299999999999999940e-02 1.524200000000000088e+01 1.600000000000000033e-02
2.259100000000000108e+01 1.179999999999999938e-01 2.203699999999999903e+01 1.300000000000000044e-01
2.274299999999999855e+01 1.539999999999999980e-01 2.126800000000000068e+01 7.299999999999999545e-02
2.235800000000000054e+01 1.120000000000000023e-01 2.133200000000000074e+01 7.099999999999999367e-02
2.130699999999999861e+01 5.000000000000000278e-02 2.082700000000000173e+01 4.700000000000000011e-02
2.141000000000000014e+01 3.599999999999999728e-02 2.098600000000000065e+01 4.800000000000000100e-02
2.135399999999999920e+01 5.199999999999999761e-02 2.082499999999999929e+01 4.399999999999999745e-02
2.061100000000000065e+01 2.999999999999999889e-02 2.022599999999999909e+01 2.800000000000000058e-02
2.246799999999999997e+01 1.239999999999999991e-01 2.210300000000000153e+01 1.509999999999999953e-01
2.235000000000000142e+01 8.599999999999999312e-02 2.174899999999999878e+01 1.049999999999999961e-01
2.282999999999999829e+01 1.910000000000000031e-01 2.148799999999999955e+01 7.399999999999999634e-02
2.163899999999999935e+01 6.199999999999999956e-02 2.098499999999999943e+01 6.500000000000000222e-02
2.232300000000000040e+01 1.029999999999999943e-01 2.173400000000000176e+01 7.799999999999999989e-02
2.278600000000000136e+01 1.580000000000000016e-01 2.134499999999999886e+01 7.699999999999999900e-02
1.472400000000000020e+01 1.099999999999999936e-02 1.430199999999999960e+01 1.299999999999999940e-02
2.168299999999999983e+01 1.320000000000000062e-01 2.076000000000000156e+01 8.799999999999999489e-02
2.212699999999999889e+01 8.799999999999999489e-02 2.063599999999999923e+01 4.299999999999999656e-02
2.244300000000000139e+01 1.219999999999999973e-01 2.180099999999999838e+01 1.010000000000000064e-01
2.043799999999999883e+01 2.800000000000000058e-02 1.951899999999999835e+01 1.700000000000000122e-02
2.136599999999999966e+01 5.899999999999999689e-02 1.977199999999999847e+01 2.199999999999999872e-02
2.297700000000000031e+01 1.559999999999999998e-01 2.183099999999999952e+01 1.010000000000000064e-01
2.068700000000000117e+01 2.999999999999999889e-02 2.035600000000000165e+01 4.299999999999999656e-02
1.963599999999999923e+01 2.000000000000000042e-02 1.936499999999999844e+01 1.700000000000000122e-02
9.999899999999999523e+01 9.999000000000000554e+00 2.260800000000000054e+01 1.950000000000000067e-01
2.266600000000000037e+01 1.160000000000000059e-01 2.208299999999999841e+01 1.519999999999999962e-01
2.168799999999999883e+01 5.199999999999999761e-02 2.126399999999999935e+01 7.799999999999999989e-02
2.124500000000000099e+01 3.899999999999999994e-02 2.091300000000000026e+01 5.899999999999999689e-02
1.695400000000000063e+01 8.999999999999999320e-03 1.649599999999999866e+01 1.000000000000000021e-02
2.138400000000000034e+01 4.100000000000000172e-02 2.096499999999999986e+01 5.000000000000000278e-02
2.223799999999999955e+01 1.079999999999999988e-01 2.195299999999999940e+01 1.219999999999999973e-01
2.129799999999999827e+01 5.199999999999999761e-02 2.093299999999999983e+01 4.299999999999999656e-02
1.746900000000000119e+01 1.700000000000000122e-02 1.604500000000000171e+01 1.000000000000000021e-02
2.203900000000000148e+01 9.800000000000000377e-02 2.160000000000000142e+01 7.799999999999999989e-02
2.115800000000000125e+01 4.900000000000000189e-02 2.081200000000000117e+01 4.599999999999999922e-02
2.144500000000000028e+01 4.499999999999999833e-02 2.097200000000000131e+01 4.900000000000000189e-02
2.298499999999999943e+01 1.759999999999999898e-01 2.199200000000000088e+01 1.390000000000000124e-01
1.829700000000000060e+01 1.200000000000000025e-02 1.732499999999999929e+01 1.000000000000000021e-02
2.236799999999999855e+01 1.179999999999999938e-01 2.170599999999999952e+01 9.800000000000000377e-02
2.199899999999999878e+01 8.300000000000000433e-02 2.134100000000000108e+01 7.099999999999999367e-02
2.135300000000000153e+01 4.000000000000000083e-02 1.997400000000000020e+01 2.299999999999999961e-02
2.276999999999999957e+01 1.469999999999999918e-01 2.187500000000000000e+01 1.189999999999999947e-01
2.366300000000000026e+01 3.569999999999999840e-01 2.208899999999999864e+01 1.400000000000000133e-01
1.989799999999999969e+01 2.599999999999999881e-02 1.960600000000000165e+01 2.599999999999999881e-02
2.130600000000000094e+01 1.499999999999999944e-01 2.076699999999999946e+01 1.290000000000000036e-01
2.246799999999999997e+01 1.029999999999999943e-01 2.113700000000000045e+01 7.099999999999999367e-02
2.127499999999999858e+01 5.800000000000000294e-02 2.077899999999999991e+01 5.199999999999999761e-02
2.244500000000000028e+01 1.130000000000000032e-01 2.189099999999999824e+01 1.179999999999999938e-01
2.093799999999999883e+01 4.000000000000000083e-02 2.057799999999999940e+01 4.000000000000000083e-02
2.054599999999999937e+01 3.099999999999999978e-02 2.022200000000000131e+01 3.599999999999999728e-02
1.826200000000000045e+01 1.400000000000000029e-02 1.777599999999999980e+01 1.499999999999999944e-02
1.893199999999999861e+01 1.299999999999999940e-02 1.826999999999999957e+01 1.099999999999999936e-02
2.208999999999999986e+01 9.900000000000000466e-02 2.160300000000000153e+01 7.599999999999999811e-02
1.888700000000000045e+01 1.099999999999999936e-02 1.772200000000000131e+01 1.000000000000000021e-02
2.019900000000000162e+01 2.599999999999999881e-02 1.873999999999999844e+01 1.099999999999999936e-02
2.249500000000000099e+01 1.179999999999999938e-01 2.215500000000000114e+01 1.499999999999999944e-01
2.242999999999999972e+01 1.799999999999999933e-01 2.079400000000000048e+01 8.999999999999999667e-02
2.178000000000000114e+01 7.299999999999999545e-02 2.131400000000000006e+01 7.599999999999999811e-02
2.210699999999999932e+01 7.799999999999999989e-02 2.137900000000000134e+01 6.600000000000000311e-02
2.177799999999999869e+01 6.400000000000000133e-02 2.129700000000000060e+01 6.600000000000000311e-02
2.183099999999999952e+01 7.499999999999999722e-02 2.076800000000000068e+01 6.900000000000000577e-02
2.144300000000000139e+01 5.199999999999999761e-02 2.102199999999999847e+01 6.300000000000000044e-02
2.175600000000000023e+01 5.899999999999999689e-02 2.135900000000000176e+01 7.499999999999999722e-02
1.928999999999999915e+01 1.499999999999999944e-02 1.900600000000000023e+01 1.700000000000000122e-02
2.036799999999999855e+01 2.599999999999999881e-02 2.007600000000000051e+01 2.900000000000000147e-02
2.137900000000000134e+01 4.499999999999999833e-02 2.089799999999999969e+01 4.800000000000000100e-02
2.281099999999999994e+01 1.499999999999999944e-01 2.140599999999999881e+01 8.400000000000000522e-02
2.245799999999999841e+01 1.150000000000000050e-01 2.182100000000000151e+01 9.400000000000000022e-02
2.194900000000000162e+01 6.900000000000000577e-02 2.148699999999999832e+01 7.299999999999999545e-02
2.144000000000000128e+01 5.099999999999999672e-02 2.105699999999999861e+01 5.299999999999999850e-02
2.257499999999999929e+01 1.390000000000000124e-01 2.187999999999999901e+01 1.100000000000000006e-01
2.186899999999999977e+01 6.900000000000000577e-02 2.024899999999999878e+01 6.099999999999999867e-02
2.219699999999999918e+01 9.299999999999999933e-02 2.185900000000000176e+01 9.400000000000000022e-02
2.066499999999999915e+01 3.300000000000000155e-02 1.923000000000000043e+01 1.799999999999999864e-02
1.938800000000000168e+01 1.499999999999999944e-02 1.851599999999999824e+01 1.499999999999999944e-02
1.818700000000000117e+01 1.899999999999999953e-02 1.729299999999999926e+01 1.299999999999999940e-02
1.919900000000000162e+01 1.600000000000000033e-02 1.891400000000000148e+01 1.700000000000000122e-02
2.112099999999999866e+01 2.900000000000000147e-02 2.076099999999999923e+01 4.200000000000000261e-02
2.175499999999999901e+01 8.899999999999999578e-02 2.103500000000000014e+01 7.900000000000000078e-02
2.119099999999999895e+01 5.600000000000000117e-02 2.069600000000000151e+01 4.399999999999999745e-02
2.153300000000000125e+01 6.500000000000000222e-02 2.102799999999999869e+01 4.499999999999999833e-02
2.259799999999999898e+01 1.029999999999999943e-01 2.199099999999999966e+01 1.690000000000000113e-01
2.246900000000000119e+01 1.110000000000000014e-01 2.092399999999999949e+01 5.600000000000000117e-02
2.076999999999999957e+01 3.300000000000000155e-02 1.953800000000000026e+01 2.100000000000000130e-02
2.361499999999999844e+01 3.400000000000000244e-01 2.220899999999999963e+01 1.239999999999999991e-01
2.244800000000000040e+01 1.300000000000000044e-01 2.111700000000000088e+01 6.300000000000000044e-02
2.255999999999999872e+01 1.270000000000000018e-01 2.166600000000000037e+01 1.000000000000000056e-01
2.130799999999999983e+01 5.099999999999999672e-02 2.083299999999999841e+01 5.299999999999999850e-02
2.213200000000000145e+01 1.019999999999999934e-01 2.155199999999999960e+01 8.999999999999999667e-02
1.449799999999999933e+01 1.499999999999999944e-02 1.413400000000000034e+01 1.299999999999999940e-02
1.807199999999999918e+01 1.600000000000000033e-02 1.813700000000000045e+01 1.700000000000000122e-02
2.256700000000000017e+01 1.120000000000000023e-01 2.160900000000000176e+01 1.150000000000000050e-01
1.833200000000000074e+01 1.499999999999999944e-02 1.691700000000000159e+01 1.000000000000000021e-02
2.233099999999999952e+01 1.049999999999999961e-01 2.200300000000000011e+01 1.400000000000000133e-01
1.819099999999999895e+01 1.299999999999999940e-02 1.751500000000000057e+01 1.499999999999999944e-02
2.097700000000000031e+01 4.200000000000000261e-02 2.064099999999999824e+01 4.499999999999999833e-02
1.635900000000000176e+01 1.799999999999999864e-02 1.578700000000000081e+01 1.200000000000000025e-02
9.999899999999999523e+01 9.999000000000000554e+00 2.235699999999999932e+01 1.839999999999999969e-01
2.212600000000000122e+01 9.199999999999999845e-02 2.142200000000000060e+01 6.300000000000000044e-02
1.985000000000000142e+01 2.000000000000000042e-02 1.953600000000000136e+01 1.799999999999999864e-02
