# B, V
1.635899999999999821e+01 1.591799999999999926e+01
1.487400000000000055e+01 1.427899999999999991e+01
1.265599999999999881e+01 1.244999999999999929e+01
1.431000000000000050e+01 1.370400000000000063e+01
1.596700000000000053e+01 1.491900000000000048e+01
1.701899999999999835e+01 1.601899999999999835e+01
1.292800000000000082e+01 1.272000000000000064e+01
1.607099999999999795e+01 1.517099999999999937e+01
1.534800000000000075e+01 1.486500000000000021e+01
1.431000000000000050e+01 1.356099999999999994e+01
1.668500000000000227e+01 1.582600000000000051e+01
1.496899999999999942e+01 1.432399999999999984e+01
1.327899999999999991e+01 1.278100000000000058e+01
1.374099999999999966e+01 1.270100000000000051e+01
1.420199999999999996e+01 1.362700000000000067e+01
1.222799999999999976e+01 1.151600000000000001e+01
1.671099999999999852e+01 1.579199999999999982e+01
1.644899999999999807e+01 1.574499999999999922e+01
8.814000000000000057e+00 8.637000000000000455e+00
1.686700000000000088e+01 1.618599999999999994e+01
1.089999999999999858e+01 1.075099999999999945e+01
1.689199999999999946e+01 1.623300000000000054e+01
1.335200000000000031e+01 1.317200000000000060e+01
1.687800000000000011e+01 1.596700000000000053e+01
1.570599999999999952e+01 1.469699999999999918e+01
1.064299999999999891e+01 1.049399999999999977e+01
1.689199999999999946e+01 1.610999999999999943e+01
1.685099999999999909e+01 1.603200000000000003e+01
1.647700000000000031e+01 1.565000000000000036e+01
1.619200000000000017e+01 1.565799999999999947e+01
1.612099999999999866e+01 1.531700000000000017e+01
1.714199999999999946e+01 1.629799999999999827e+01
1.376200000000000045e+01 1.345100000000000051e+01
1.287699999999999889e+01 1.265799999999999947e+01
1.578699999999999903e+01 1.500399999999999956e+01
1.568699999999999939e+01 1.490700000000000003e+01
1.562700000000000067e+01 1.460899999999999999e+01
1.694899999999999807e+01 1.605399999999999849e+01
1.502599999999999980e+01 1.406000000000000050e+01
1.639099999999999824e+01 1.523799999999999955e+01
1.436200000000000010e+01 1.369800000000000040e+01
1.602100000000000080e+01 1.490600000000000058e+01
1.550699999999999967e+01 1.470800000000000018e+01
1.673499999999999943e+01 1.583099999999999952e+01
1.628800000000000026e+01 1.567600000000000016e+01
1.569800000000000040e+01 1.451999999999999957e+01
1.569800000000000040e+01 1.506799999999999962e+01
1.621000000000000085e+01 1.553899999999999970e+01
1.619800000000000040e+01 1.557499999999999929e+01
1.578999999999999915e+01 1.528200000000000003e+01
1.371399999999999864e+01 1.306499999999999950e+01
1.593599999999999994e+01 1.497499999999999964e+01
1.558900000000000041e+01 1.508699999999999974e+01
1.593900000000000006e+01 1.543299999999999983e+01
1.662399999999999878e+01 1.580899999999999928e+01
1.380999999999999872e+01 1.313599999999999923e+01
1.523799999999999955e+01 1.484099999999999930e+01
1.711799999999999855e+01 1.637699999999999889e+01
1.492900000000000027e+01 1.374300000000000033e+01
1.602500000000000213e+01 1.545400000000000063e+01
1.626500000000000057e+01 1.568999999999999950e+01
1.608999999999999986e+01 1.522799999999999976e+01
1.624599999999999866e+01 1.549799999999999933e+01
1.490000000000000036e+01 1.452899999999999991e+01
1.517999999999999972e+01 1.419299999999999962e+01
1.667600000000000193e+01 1.558500000000000085e+01
1.672899999999999920e+01 1.589899999999999913e+01
1.529800000000000004e+01 1.385699999999999932e+01
1.603899999999999793e+01 1.488899999999999935e+01
1.589400000000000013e+01 1.535599999999999987e+01
1.625799999999999912e+01 1.556099999999999994e+01
1.657499999999999929e+01 1.568099999999999916e+01
1.317099999999999937e+01 1.292600000000000016e+01
1.667399999999999949e+01 1.558500000000000085e+01
1.612699999999999889e+01 1.525600000000000023e+01
1.655300000000000082e+01 1.560500000000000043e+01
1.452400000000000091e+01 1.367500000000000071e+01
1.660399999999999920e+01 1.589700000000000024e+01
1.618700000000000117e+01 1.541399999999999970e+01
1.586400000000000077e+01 1.504800000000000004e+01
1.688100000000000023e+01 1.592500000000000071e+01
1.684600000000000009e+01 1.606599999999999895e+01
1.437700000000000067e+01 1.352899999999999991e+01
1.459200000000000053e+01 1.392300000000000004e+01
1.461899999999999977e+01 1.423099999999999987e+01
1.574399999999999977e+01 1.487100000000000044e+01
1.427499999999999858e+01 1.388599999999999923e+01
1.690099999999999980e+01 1.608899999999999864e+01
1.550000000000000000e+01 1.411999999999999922e+01
1.382000000000000028e+01 1.299399999999999977e+01
1.650499999999999901e+01 1.579100000000000037e+01
1.687599999999999767e+01 1.602499999999999858e+01
1.433400000000000141e+01 1.363000000000000078e+01
1.556499999999999950e+01 1.507499999999999929e+01
1.666600000000000037e+01 1.584099999999999930e+01
1.492699999999999960e+01 1.353800000000000026e+01
1.518900000000000006e+01 1.477599999999999980e+01
1.637399999999999878e+01 1.571100000000000030e+01
1.674500000000000099e+01 1.589300000000000068e+01
1.514299999999999891e+01 1.473799999999999955e+01
1.480299999999999905e+01 1.437899999999999956e+01
1.708699999999999974e+01 1.627799999999999869e+01
1.703000000000000114e+01 1.617999999999999972e+01
1.588400000000000034e+01 1.534200000000000053e+01
1.551700000000000124e+01 1.475200000000000067e+01
1.566500000000000092e+01 1.499600000000000044e+01
1.571100000000000030e+01 1.474200000000000088e+01
1.285699999999999932e+01 1.153500000000000014e+01
1.559900000000000020e+01 1.509399999999999942e+01
1.631499999999999773e+01 1.583799999999999919e+01
1.696599999999999753e+01 1.614999999999999858e+01
1.441399999999999970e+01 1.406700000000000017e+01
1.692599999999999838e+01 1.629599999999999937e+01
1.676699999999999946e+01 1.603099999999999881e+01
1.642000000000000171e+01 1.565700000000000003e+01
1.698199999999999932e+01 1.607499999999999929e+01
1.223399999999999999e+01 1.183000000000000007e+01
1.173700000000000010e+01 1.152200000000000024e+01
1.393900000000000006e+01 1.358600000000000030e+01
9.891000000000000014e+00 9.702999999999999403e+00
1.181299999999999883e+01 1.154899999999999949e+01
1.714000000000000057e+01 1.635300000000000153e+01
1.539000000000000057e+01 1.452100000000000080e+01
1.674699999999999989e+01 1.597799999999999976e+01
1.407799999999999940e+01 1.374799999999999933e+01
1.442099999999999937e+01 1.408999999999999986e+01
1.436100000000000065e+01 1.359900000000000020e+01
1.571499999999999986e+01 1.478299999999999947e+01
1.476600000000000001e+01 1.432699999999999996e+01
1.031900000000000084e+01 1.015300000000000047e+01
1.348200000000000109e+01 1.294100000000000072e+01
1.703500000000000014e+01 1.610099999999999909e+01
1.568299999999999983e+01 1.471100000000000030e+01
1.463300000000000090e+01 1.422100000000000009e+01
1.589000000000000057e+01 1.507099999999999973e+01
1.679899999999999949e+01 1.603399999999999892e+01
1.422000000000000064e+01 1.364300000000000068e+01
1.209600000000000009e+01 1.185699999999999932e+01
1.634199999999999875e+01 1.551200000000000045e+01
1.428500000000000014e+01 1.389499999999999957e+01
1.462000000000000099e+01 1.424000000000000021e+01
1.508200000000000074e+01 1.335500000000000043e+01
1.596999999999999886e+01 1.525799999999999912e+01
1.422600000000000087e+01 1.395500000000000007e+01
1.629400000000000048e+01 1.547300000000000075e+01
1.493799999999999883e+01 1.421199999999999974e+01
1.621900000000000119e+01 1.507600000000000051e+01
1.580499999999999972e+01 1.524900000000000055e+01
1.580300000000000082e+01 1.533000000000000007e+01
1.521700000000000053e+01 1.422300000000000075e+01
1.457600000000000051e+01 1.311500000000000021e+01
1.596199999999999974e+01 1.515799999999999947e+01
1.232799999999999940e+01 1.217300000000000004e+01
1.662399999999999878e+01 1.572400000000000020e+01
1.625900000000000034e+01 1.551399999999999935e+01
1.548899999999999899e+01 1.479899999999999949e+01
1.646799999999999997e+01 1.577500000000000036e+01
1.620599999999999952e+01 1.558699999999999974e+01
1.663100000000000023e+01 1.598399999999999999e+01
1.416499999999999915e+01 1.349699999999999989e+01
1.706800000000000139e+01 1.631099999999999994e+01
1.561300000000000132e+01 1.495100000000000051e+01
1.637600000000000122e+01 1.563799999999999990e+01
1.542999999999999972e+01 1.444800000000000040e+01
1.294699999999999918e+01 1.181499999999999950e+01
1.539299999999999891e+01 1.493699999999999939e+01
1.637300000000000111e+01 1.577299999999999969e+01
1.658999999999999986e+01 1.605699999999999861e+01
1.436500000000000021e+01 1.394299999999999962e+01
1.634900000000000020e+01 1.582799999999999940e+01
1.205299999999999905e+01 1.168999999999999950e+01
1.350099999999999945e+01 1.298499999999999943e+01
1.519999999999999929e+01 1.480499999999999972e+01
1.718199999999999861e+01 1.635200000000000031e+01
1.441900000000000048e+01 1.405199999999999960e+01
1.587600000000000122e+01 1.527800000000000047e+01
1.546799999999999997e+01 1.451900000000000013e+01
1.576099999999999923e+01 1.525300000000000011e+01
1.479899999999999949e+01 1.338899999999999935e+01
1.547799999999999976e+01 1.482399999999999984e+01
1.525699999999999967e+01 1.480599999999999916e+01
1.401000000000000156e+01 1.330300000000000082e+01
1.649000000000000199e+01 1.562100000000000044e+01
1.376900000000000013e+01 1.348499999999999943e+01
1.604100000000000037e+01 1.471100000000000030e+01
1.616300000000000026e+01 1.536299999999999955e+01
1.510900000000000176e+01 1.444400000000000084e+01
9.419000000000000483e+00 9.255000000000000782e+00
1.569400000000000084e+01 1.500900000000000034e+01
1.392199999999999882e+01 1.362599999999999945e+01
1.691399999999999793e+01 1.589499999999999957e+01
1.664000000000000057e+01 1.573399999999999999e+01
1.539400000000000013e+01 1.482900000000000063e+01
1.361399999999999899e+01 1.330899999999999928e+01
1.383399999999999963e+01 1.352999999999999936e+01
1.673699999999999832e+01 1.588899999999999935e+01
1.511599999999999966e+01 1.445899999999999963e+01
1.581799999999999962e+01 1.531700000000000017e+01
1.588100000000000023e+01 1.532000000000000028e+01
1.474399999999999977e+01 1.415600000000000058e+01
1.562800000000000011e+01 1.480499999999999972e+01
1.498900000000000077e+01 1.417800000000000082e+01
1.609999999999999787e+01 1.475799999999999912e+01
1.380499999999999972e+01 1.347899999999999920e+01
1.637699999999999889e+01 1.573399999999999999e+01
9.979999999999998650e+00 9.641999999999999460e+00
1.570699999999999896e+01 1.514499999999999957e+01
1.663500000000000156e+01 1.578700000000000081e+01
1.502500000000000036e+01 1.392600000000000016e+01
1.636400000000000077e+01 1.565600000000000058e+01
1.676800000000000068e+01 1.593299999999999983e+01
1.441900000000000048e+01 1.374699999999999989e+01
1.335400000000000098e+01 1.308300000000000018e+01
1.555599999999999916e+01 1.480899999999999928e+01
1.382699999999999996e+01 1.348199999999999932e+01
1.501500000000000057e+01 1.456700000000000017e+01
1.523600000000000065e+01 1.482900000000000063e+01
1.510100000000000087e+01 1.465900000000000070e+01
1.577999999999999936e+01 1.417300000000000004e+01
1.262599999999999945e+01 1.236999999999999922e+01
1.650900000000000034e+01 1.564100000000000001e+01
1.125900000000000034e+01 1.106000000000000050e+01
1.710200000000000031e+01 1.630699999999999861e+01
1.667699999999999960e+01 1.572100000000000009e+01
1.613799999999999812e+01 1.552699999999999925e+01
1.523299999999999876e+01 1.478599999999999959e+01
1.648099999999999810e+01 1.555899999999999928e+01
1.536200000000000010e+01 1.494800000000000040e+01
