ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,bp_rp,teff_val,lum_val
290.1203583629515,44.384736300998426,1.4371653229222956,0.021050533228121913,1.063619196686537,-0.8734767932588268,14.93586,15.3911,354.42886,14.3327055,653.4976,1.0583944,5127.62,0.41170236
289.9678649110674,44.19463826033943,0.09930076548971688,0.29358449714655416,-6.019419626404458,-8.857282830354462,15.168296,15.58213,631.92694,14.575529,697.7861,1.0066013,5227.0,
290.14985818905535,44.35613559331343,0.4432330966597905,0.03864441497928459,0.12906579324501044,-3.9963709054513004,16.026558,16.371307,232.92451,15.501631,476.6805,0.8696766,5527.415,1.5012796
290.0078648746587,43.7475433645695,0.2982139916300397,0.03759510182027661,1.0012914501976788,-4.137885984776445,16.109533,16.437588,226.95526,15.615819,485.29446,0.82176876,5827.75,3.0040464
290.28191458882213,43.95604038695158,0.26544557840266747,0.04095060000889859,0.3259608986749366,-2.774502990062232,16.309372,16.66708,205.20914,15.775182,491.4117,0.89189816,5542.053,
290.0219873839066,44.11106825580174,0.3594129316516422,0.030609718995239975,-6.591360074959856,-7.292875845303126,15.841285,16.175507,213.5887,15.338034,531.4944,0.8374729,5752.5,2.6596859
290.1148341154507,43.620538454574785,0.08260542202270854,0.03513379921892927,-2.797026566278003,-7.412912871605682,16.15402,16.681341,284.8785,15.488071,395.65524,1.1932697,4994.393,
290.2573064477802,43.73313409312057,0.33336954598306073,0.03771416914663938,0.3044603296234222,-2.724214881654746,15.842387,16.12815,353.7913,15.382628,437.9851,0.7455225,6184.15,3.033138
290.45046277899684,43.80819448809845,0.2930831983333072,0.05844749640075263,-0.6013219194252266,0.14164244554185393,16.858854,17.202297,103.98365,16.354235,306.10803,0.8480625,5922.9375,
290.346658869078,43.89974683775548,1.5918396831191373,0.026635014418140743,-0.808632210140035,-10.159776500515655,15.522679,16.08531,247.3632,14.821638,506.9176,1.2636719,5012.0,0.19995141
290.31387403178206,44.371215752922296,1.5000818421738318,0.013774979941993771,-4.130362593262143,-6.570282799347182,13.469553,13.766868,942.304,13.01797,1220.2896,0.74889755,6103.0,1.335263
290.2148953538491,44.29407520495498,0.42739610037054926,0.047940110060075626,0.40141027198019336,0.7379891441849055,16.600893,16.989006,237.5698,16.061218,301.29663,0.9277878,5448.0,0.95920724
290.2607075788849,44.249116823579996,3.2038595927202853,0.025193284348073965,-8.412878685000004,-8.430775213964866,15.325761,16.215452,430.0502,14.399377,1010.1332,1.8160753,4163.6953,0.08114313
289.9384221580805,43.78352245065301,0.6378907858489983,0.04965765376709094,0.12133842749260793,-8.52832783344455,16.507078,17.011549,127.22807,15.858138,364.6587,1.1534109,4964.0,0.5082101
290.2314650041115,43.78715719757254,1.0504636839726746,0.027258365958798512,-3.946784658201084,-8.199619868258498,15.454075,15.922681,330.81854,14.832339,646.1776,1.0903416,5020.0,0.48828018
290.47772905444475,44.2454738031142,0.24221456601493557,0.04533576750451967,-3.1644757445380645,-3.4715391538728673,16.58044,17.068586,190.62688,15.945853,312.19073,1.1227331,4983.67,
290.1191118804723,44.388041811699686,2.649215854077222,0.03495894050133803,-16.361200062156122,-36.50612399172341,15.982369,16.876322,222.9051,15.0593605,476.01996,1.8169613,4068.71,0.06863522
289.8371044602014,43.84458554294701,0.1656041691590495,0.05655456808974478,-1.43342440314929,-6.367127541878356,16.613659,16.879992,205.07327,16.175894,264.70605,0.70409775,6190.0,
290.0049202741893,44.36084438479947,0.35295235537990144,0.0336963258000374,-3.005097171785115,-3.671211455145892,15.848773,16.192806,311.9042,15.332259,345.25824,0.86054707,5545.9927,2.783795
290.0181967120138,43.98768467244489,0.06906501326226303,0.027183005381481325,-1.1987850124777921,-3.766462210448319,15.353727,15.87944,463.0029,14.680311,587.60205,1.1991291,4912.75,
290.4449984579033,43.76924084952468,0.13052796645579914,0.04274618702274321,-2.713410974955352,-1.4675249000107178,16.351116,16.928867,263.14688,15.656099,457.40997,1.272768,4804.18,
289.9655099720297,44.184103526229876,0.5977816859693529,0.05009198052010598,1.7780514163176244,-7.914062031429754,16.84111,17.381655,145.59018,16.158976,289.78458,1.2226791,4854.088,0.43698743
289.97732466170794,43.74464982282832,0.6885988788052078,0.05810634834402108,6.870366600348162,2.125014256706021,16.899418,17.469152,137.74849,16.186216,277.22943,1.2829361,4834.21,0.3137506
289.77125732262266,43.82213813522902,0.5433144239008924,0.040800860779658714,-0.3180210546293136,-5.668884069431629,15.941963,16.316172,253.59909,15.358599,131.91058,0.95757294,5239.75,1.1192454
290.33670054258283,43.684850949692624,0.47538277809211305,0.03518415543034698,-5.932225683324521,-8.955202724834404,15.778769,16.168253,255.88461,15.227764,618.7979,0.9404888,5355.705,1.6715868
290.3196470287865,43.627596716140104,1.4403228177597367,0.03922315398708971,-4.025063034045683,-6.176461829527116,15.074169,15.524373,321.7474,14.445273,455.94794,1.0790997,5034.9365,0.3673881
290.03215930273706,44.332648093101525,0.28254641816023024,0.032075366477585146,1.0065684703695654,-3.3367650986928767,15.884593,16.244034,270.78076,15.363248,433.18073,0.88078594,5860.0,4.109687
290.4332725588751,44.290825755101025,1.1452579625538801,0.04938210380857328,3.632585284773878,6.852198715870621,16.626692,17.369457,209.03998,15.78056,381.42084,1.5888977,4253.1846,0.18244009
289.98065790286665,44.1543491011666,0.40265332165639917,0.02362023392194107,-0.30304342206540835,-4.351639479753581,15.296238,15.529429,645.0736,14.901475,1154.2053,0.6279545,6831.0,3.427547
290.26273301731703,43.971810055351646,0.7533097514208682,0.03544279053357633,-4.095758101975809,-8.36926351696168,16.24477,16.853937,183.16179,15.497585,469.15332,1.3563519,4772.6665,0.48739606
290.3751173177061,43.87069601200842,0.24328114051770391,0.060445089930811734,-2.098870368148866,-5.766421624531337,17.06478,17.407932,121.994896,16.543228,257.3115,0.86470413,5558.6665,
290.111892918108,43.89577629470171,0.3448862182651281,0.045409217582176926,-0.8242048758307718,-3.3317011583115974,16.653778,17.041075,123.65119,16.10761,343.13144,0.93346405,5396.0,1.4114988
289.8872248219088,43.83380975534695,0.266873704231508,0.04062445272878943,0.31892978943763817,-3.399447710828901,15.954557,16.483313,207.21751,15.277291,447.91455,1.2060213,4940.785,
290.2659452564478,43.75446704805291,0.7639998167839811,0.04298522580916369,-1.6549532319548654,-4.7520619357653056,16.426563,16.89562,216.81104,15.802519,349.47864,1.0931015,4888.455,0.38848048
290.42573474633815,44.29921387220693,0.7976243753462327,0.019645815351299074,-2.343303660583451,-7.961112212237657,14.640333,14.960755,724.0202,14.15881,1058.1608,0.8019457,5823.6665,1.6253417
290.0612911329686,44.44701696515322,0.8798077231468067,0.015458063523175017,3.365214053072399,-9.101688652166814,14.014899,14.375127,1055.7063,13.499339,810.1214,0.87578773,5569.75,2.4204335
290.0383011094034,43.97336558066657,0.2536514027885392,0.03780743236375715,-0.5410528329487534,-2.3413650024548582,16.183743,16.501017,192.15811,15.684601,391.6319,0.8164158,5831.0,
290.11403634911414,44.39594679164947,2.949387138714283,0.029616911385407133,10.201579855724056,10.371228590258552,13.261635,13.730532,260.19522,12.609922,385.83194,1.1206093,5002.5596,0.46833158
290.11360177446613,43.9581168196682,,,,,14.837727,15.123959,271.321,14.238907,697.47534,0.8850517,5751.1504,
290.35828356827255,43.78425784795221,0.2809787853260765,0.0468964720625161,-3.2095398244116007,-5.988759341740058,16.586817,16.955698,179.2938,16.055077,227.61293,0.9006214,5445.5,
289.9391832465808,44.214391272803006,0.3715492326675722,0.038879366355122874,2.163441383674176,-10.968828213040469,16.380756,16.701588,362.81003,15.895935,303.5264,0.8056526,5817.75,1.5082858
290.49042396312694,44.17177705883777,1.6934951423170221,0.025526390190025592,10.095192957065228,6.892016629686043,15.461501,16.036957,481.53116,14.751985,673.7551,1.2849722,5016.3,0.18673737
290.11953980490307,44.3433841894905,0.6441355954919532,0.02950715474518406,4.693981623430172,2.1049708564641803,15.794296,16.174128,462.1035,15.250173,502.10886,0.92395496,5443.1973,0.88815755
290.0610666226282,43.95273806749028,0.2166111997431208,0.051504754290320864,-1.3627434715296225,-3.0977522865486575,16.734346,17.099953,177.16757,16.19897,213.73926,0.9009819,5523.3,
290.01097753524675,43.99768560908041,0.15882180048145395,0.06421356917037663,-2.329391267436367,-3.1282907630812735,17.135096,17.463253,130.85776,16.640165,141.41791,0.8230877,,
290.5084470278136,44.16260517173281,0.3446310530243323,0.05343621764805538,-6.9483306121883315,-1.6200103613393675,16.760462,17.122126,159.47047,16.238806,266.7697,0.88331985,5855.3335,
290.15042711518095,43.58197726644594,0.4136732413560536,0.03151659760616196,0.7828795938324387,-7.332278159735925,15.814674,16.14007,417.29025,15.32522,539.95917,0.81484985,5757.3335,2.056896
290.0084865005745,44.00079211162741,0.39628342522821486,0.028415867346314027,1.5864733049332513,-1.3948273684392274,15.45768,15.70045,457.19952,15.047962,709.2755,0.65248775,6345.3335,3.0505083
290.1631830003812,43.569219314976394,1.0773905637944212,0.038637344982813425,2.6801622964200966E-5,1.053839114613519,16.249006,16.791893,238.1689,15.56716,396.61914,1.2247334,4898.0,0.22951005
290.01344954315203,44.14226708493128,0.7097625275890574,0.014595702203237372,0.7146702594320786,-5.140254752621766,14.133093,14.505495,321.85358,13.576,370.7874,0.92949486,5251.467,3.463981
290.23278661687823,44.45386995461175,1.0535916952386122,0.03330542483913522,10.322242974494236,6.714725586671145,16.028364,16.53493,236.1244,15.375432,555.49554,1.1594973,4956.0,0.29004648
289.966586495115,44.188141166471404,0.7151873221347801,0.02595744264230103,-4.743124451757991,-8.412917626920464,15.6069,16.011124,448.12225,15.038746,690.78625,0.9723778,5350.3335,0.865814
289.95986323240754,44.047899307808635,-0.053261687977164136,0.0403708112030292,-2.4614783956929362,-3.316276775726389,16.09178,16.746815,234.9846,15.317167,496.7875,1.4296474,4476.9575,
290.38586612769063,43.80469999275138,0.09736963039197297,0.05921712263473459,-2.1219081496463064,-4.4738280136831685,16.994204,17.494993,179.17625,16.350018,311.20084,1.1449757,4966.02,
289.96272652885955,43.77081386053017,0.5658400216210614,0.04084824935024131,-0.3556992460560906,4.978152141135734,16.021196,16.335468,140.4311,15.520706,422.13126,0.8147621,5835.91,0.9047233
290.227544409829,43.781256340540686,0.30775006161036544,0.05178894717323658,1.8360699542766519,-5.92503839882302,16.5849,16.926462,159.01785,16.06447,387.57367,0.8619919,5549.63,
290.126726328651,44.38499067591165,0.4607966345728706,0.0625589749709629,-2.534323224835541,-3.668290991816371,17.066214,17.48341,74.36439,16.486078,194.08554,0.9973316,5348.6665,0.54401886
290.3139086747567,43.694741366286316,0.10379674393734384,0.05706882714777514,-2.938357549054027,-4.675660815674511,16.750107,17.12892,186.51923,16.194271,325.1075,0.9346485,5164.9,
290.0407673773661,44.46992699953186,3.2584710707167166,0.014060616697497594,-13.01416013064039,-8.585924356733074,14.016355,14.5988655,1034.5986,13.308083,1281.54,1.2907829,5004.0,0.191411
