# BVcolor, Vmag
-3.089999999999992752e-01 9.271000000000000796e+00
-3.159999999999998366e-01 9.336000000000000298e+00
-3.220000000000000639e-01 9.406000000000000583e+00
-3.260000000000005116e-01 9.467999999999999972e+00
-3.310000000000004050e-01 9.525000000000000355e+00
-3.349999999999999645e-01 9.582000000000000739e+00
-3.389999999999995239e-01 9.635000000000001563e+00
-3.440000000000003055e-01 9.676999999999999602e+00
-3.479999999999998650e-01 9.701000000000000512e+00
-3.399999999999998579e-01 9.557999999999999829e+00
-3.319999999999998508e-01 9.432999999999999829e+00
-3.250000000000001776e-01 9.303000000000000824e+00
-3.150000000000003908e-01 9.173999999999999488e+00
-3.019999999999996021e-01 9.057000000000000384e+00
-2.830000000000003624e-01 8.942000000000000171e+00
-2.759999999999998010e-01 8.839000000000000412e+00
-2.690000000000001279e-01 8.737999999999999545e+00
-2.610000000000001208e-01 8.626000000000001222e+00
-2.589999999999994529e-01 8.595000000000000639e+00
-2.509999999999994458e-01 8.489000000000000767e+00
-2.259999999999999787e-01 8.352000000000000313e+00
-2.099999999999999645e-01 8.118999999999999773e+00
-1.820000000000003837e-01 7.913000000000000256e+00
-1.560000000000005826e-01 7.761000000000000121e+00
-1.420000000000003482e-01 7.610000000000000320e+00
-1.250000000000000000e-01 7.510000000000000675e+00
-9.400000000000030553e-02 7.467999999999999972e+00
-9.000000000000074607e-02 7.394999999999999574e+00
-8.000000000000007105e-02 7.319000000000000838e+00
-6.400000000000005684e-02 7.255000000000000782e+00
-4.800000000000004263e-02 7.224999999999999645e+00
-3.000000000000113687e-02 7.205999999999999517e+00
1.000000000000156319e-02 7.219000000000001194e+00
5.100000000000015632e-02 7.239000000000000767e+00
9.799999999999897682e-02 7.269999999999999574e+00
1.479999999999996874e-01 7.307999999999999829e+00
2.030000000000011795e-01 7.354000000000000981e+00
2.580000000000000071e-01 7.408000000000000362e+00
3.229999999999995097e-01 7.479000000000000092e+00
3.979999999999996874e-01 7.570000000000000284e+00
4.909999999999996589e-01 7.692000000000000171e+00
6.029999999999997584e-01 7.865000000000000213e+00
6.800000000000006040e-01 8.013000000000001677e+00
7.190000000000011937e-01 7.973000000000000753e+00
7.380000000000004334e-01 7.924000000000000377e+00
7.629999999999999005e-01 7.875000000000000000e+00
7.930000000000001492e-01 7.888000000000000789e+00
