# BVcolor, Vmag
2.080000000000000071e+00 3.054800000000000182e+01
2.038999999999999702e+00 2.982699999999999818e+01
1.823999999999999844e+00 2.836800000000000210e+01
1.621999999999999886e+00 2.732099999999999795e+01
1.394999999999999574e+00 2.643200000000000216e+01
1.205999999999999517e+00 2.566900000000000048e+01
1.059000000000001052e+00 2.500200000000000244e+01
9.350000000000004974e-01 2.438400000000000034e+01
8.220000000000009521e-01 2.380600000000000094e+01
6.890000000000000568e-01 2.320599999999999952e+01
5.360000000000004761e-01 2.230000000000000071e+01
4.139999999999997016e-01 2.151099999999999923e+01
3.200000000000002842e-01 2.082799999999999940e+01
2.329999999999996518e-01 2.021799999999999997e+01
5.499999999999971578e-02 1.931299999999999883e+01
-4.300000000000014921e-02 1.890200000000000102e+01
-1.169999999999999929e-01 1.854200000000000159e+01
-1.519999999999996909e-01 1.833399999999999963e+01
-1.750000000000002665e-01 1.816000000000000014e+01
-1.979999999999999538e-01 1.795599999999999952e+01
-2.010000000000000675e-01 1.791700000000000159e+01
-2.059999999999999609e-01 1.786800000000000210e+01
-2.170000000000000817e-01 1.773799999999999955e+01
-2.269999999999998685e-01 1.761800000000000210e+01
-2.429999999999998828e-01 1.741199999999999903e+01
-2.620000000000000107e-01 1.712500000000000000e+01
-2.850000000000001421e-01 1.670700000000000074e+01
-2.940000000000000391e-01 1.651900000000000190e+01
-3.030000000000000471e-01 1.634700000000000131e+01
-3.159999999999999476e-01 1.603500000000000014e+01
-3.280000000000000693e-01 1.575500000000000078e+01
-3.370000000000000218e-01 1.550600000000000023e+01
-3.579999999999999849e-01 1.496300000000000097e+01
-3.620000000000000440e-01 1.484800000000000075e+01
-3.800000000000000044e-01 1.428700000000000081e+01
-3.850000000000000089e-01 1.413600000000000101e+01
-3.910000000000000142e-01 1.391699999999999982e+01
-4.029999999999998028e-01 1.339400000000000013e+01
-4.079999999999999183e-01 1.298900000000000077e+01
-4.100000000000001421e-01 1.266699999999999982e+01
-4.099999999999996980e-01 1.239000000000000057e+01
-4.089999999999998082e-01 1.214600000000000080e+01
-4.079999999999999183e-01 1.191500000000000092e+01
-4.079999999999999183e-01 1.189700000000000024e+01
-4.070000000000000284e-01 1.175100000000000122e+01
-4.049999999999998046e-01 1.127500000000000036e+01
-3.979999999999996874e-01 1.082799999999999940e+01
-3.890000000000002345e-01 1.060899999999999999e+01
-3.860000000000001208e-01 1.050799999999999912e+01
-3.879999999999999005e-01 1.050600000000000023e+01
-3.980000000000005755e-01 1.056700000000000017e+01
-4.029999999999995808e-01 1.059700000000000131e+01
-4.030000000000004690e-01 1.059900000000000020e+01
-3.980000000000005755e-01 1.055900000000000105e+01
-3.970000000000002416e-01 1.053800000000000026e+01
-3.899999999999996803e-01 1.044000000000000128e+01
-3.849999999999997868e-01 1.035200000000000031e+01
-3.819999999999996732e-01 1.028100000000000058e+01
-3.760000000000003340e-01 1.020800000000000018e+01
-3.690000000000006608e-01 1.013599999999999923e+01
-3.610000000000006537e-01 1.003999999999999915e+01
-3.520000000000003126e-01 9.952999999999999403e+00
-3.439999999999994174e-01 9.865999999999999659e+00
-3.380000000000000782e-01 9.783000000000001251e+00
-3.330000000000001847e-01 9.711000000000000298e+00
-3.280000000000002913e-01 9.635999999999999233e+00
-3.170000000000001705e-01 9.477000000000000313e+00
-3.020000000000004903e-01 9.326999999999999957e+00
-2.820000000000000284e-01 9.159000000000000696e+00
-2.699999999999995737e-01 9.009000000000000341e+00
-2.649999999999996803e-01 8.916000000000000369e+00
-2.619999999999995666e-01 8.865999999999999659e+00
-2.670000000000003482e-01 8.920999999999999375e+00
-2.720000000000002416e-01 8.977000000000000313e+00
-2.770000000000001350e-01 9.036999999999999034e+00
-2.839999999999998082e-01 9.120000000000000995e+00
-2.959999999999993747e-01 9.191000000000000725e+00
