# BVcolor, Vmag
8.299999999999996270e-02 1.500399999999999956e+01
1.230000000000000537e-01 1.499200000000000088e+01
1.630000000000000338e-01 1.500200000000000067e+01
2.119999999999999662e-01 1.502599999999999980e+01
2.560000000000000053e-01 1.505600000000000094e+01
3.109999999999999987e-01 1.508200000000000074e+01
3.649999999999999911e-01 1.512400000000000055e+01
3.970000000000000195e-01 1.515900000000000070e+01
4.329999999999999960e-01 1.520000000000000107e+01
4.799999999999999822e-01 1.526200000000000045e+01
5.299999999999999156e-01 1.535700000000000109e+01
5.450000000000000400e-01 1.538799999999999990e+01
5.779999999999999583e-01 1.524699999999999989e+01
5.939999999999999725e-01 1.512500000000000000e+01
6.129999999999999893e-01 1.497100000000000009e+01
6.269999999999998908e-01 1.483900000000000041e+01
6.450000000000000178e-01 1.467800000000000082e+01
6.640000000000000346e-01 1.450600000000000023e+01
6.830000000000000515e-01 1.433099999999999952e+01
7.040000000000001812e-01 1.414700000000000024e+01
7.250000000000000888e-01 1.399600000000000044e+01
7.450000000000001066e-01 1.385899999999999999e+01
7.650000000000001243e-01 1.373099999999999987e+01
7.880000000000000338e-01 1.357900000000000063e+01
8.100000000000000533e-01 1.344400000000000084e+01
8.319999999999998508e-01 1.332000000000000028e+01
8.540000000000000924e-01 1.319000000000000128e+01
8.799999999999998934e-01 1.307000000000000028e+01
9.210000000000002629e-01 1.291500000000000092e+01
9.519999999999999574e-01 1.280700000000000038e+01
9.329999999999998295e-01 1.286899999999999977e+01
9.689999999999998614e-01 1.283300000000000018e+01
1.631999999999999895e+00 1.342200000000000060e+01
1.630999999999999783e+00 1.324699999999999989e+01
1.684000000000000163e+00 1.341200000000000081e+01
1.735999999999999766e+00 1.362600000000000122e+01
1.774000000000000021e+00 1.380000000000000071e+01
1.810999999999999943e+00 1.394800000000000040e+01
1.845999999999999863e+00 1.407900000000000063e+01
1.882999999999999785e+00 1.421700000000000053e+01
1.922999999999999821e+00 1.435400000000000098e+01
1.988000000000000211e+00 1.455499999999999972e+01
2.165999999999999925e+00 1.498799999999999955e+01
1.724000000000000199e+00 1.350900000000000034e+01
