# grcolor, gmag
6.049999999999999822e-01 1.585299999999999976e+01
6.260000000000000009e-01 1.569899999999999984e+01
6.450000000000000178e-01 1.556200000000000117e+01
6.500000000000000222e-01 1.551999999999999957e+01
6.360000000000000098e-01 1.561599999999999966e+01
6.539999999999999147e-01 1.548700000000000010e+01
6.760000000000000453e-01 1.532399999999999984e+01
6.980000000000000648e-01 1.516200000000000081e+01
7.180000000000000826e-01 1.502800000000000047e+01
7.389999999999999902e-01 1.488499999999999979e+01
7.630000000000000115e-01 1.476800000000000068e+01
7.870000000000000329e-01 1.463300000000000090e+01
8.089999999999999414e-01 1.449500000000000099e+01
8.330000000000001847e-01 1.436700000000000088e+01
8.580000000000000959e-01 1.423000000000000043e+01
8.840000000000001190e-01 1.411500000000000021e+01
9.119999999999999218e-01 1.400400000000000134e+01
9.530000000000002913e-01 1.386700000000000088e+01
9.620000000000001883e-01 1.383099999999999952e+01
7.819999999999999174e-01 1.477800000000000047e+01
1.623999999999999888e+00 1.564000000000000057e+01
1.625000000000000000e+00 1.550100000000000122e+01
1.625000000000000000e+00 1.523700000000000010e+01
1.625000000000000000e+00 1.445899999999999963e+01
1.636999999999999789e+00 1.364799999999999969e+01
1.637999999999999901e+00 1.358600000000000030e+01
1.638000000000000123e+00 1.367999999999999972e+01
1.638000000000000123e+00 1.354700000000000060e+01
