objid,ra,dec,u,g,r,i,z
587727223008199945,322.59829971,12.04035975,22.952263,22.387533,21.774704,21.346863,21.888054
587727223008199946,322.5995004,12.04039593,24.486752,22.190096,21.757498,21.603788,21.62438
587727223008199947,322.59766171,12.0418925,22.8668,22.649296,21.791056,21.697481,20.965654
587727223008199978,322.5292294,12.01127096,21.929255,21.245396,20.751257,20.743488,20.488264
587727223008199985,322.53959987,12.01231673,23.73172,23.517832,21.623222,20.109055,19.238703
587727223008199986,322.53910654,12.01418547,21.819252,20.964777,20.457693,20.404469,20.147528
587727223008199987,322.53907984,12.01199383,23.797821,22.169212,21.51882,21.398378,21.073502
587727223008200095,322.52920541,12.00742506,24.572182,22.580673,21.799574,21.805189,21.3137
587727223008200153,322.54319948,12.01146295,24.094587,22.639502,22.081066,21.92968,21.546583
587727223008200154,322.54347406,12.01444223,22.348118,21.441696,21.010334,20.814911,21.013916
587727223008200227,322.55470286,12.01276444,23.48675,22.146219,21.559893,21.410109,20.815722
587727223008200306,322.56541547,12.01888354,22.568632,21.639044,21.099653,20.906048,21.591387
587727223008200317,322.56712906,12.02127769,23.664101,22.942368,22.518251,21.638752,21.050806
587727223008200349,322.5716941,12.02287473,24.969015,21.948757,20.698082,19.935787,19.456617
587727223008200350,322.57190953,12.02372945,22.936245,21.823757,21.338087,21.004839,21.493586
587727223008200351,322.57132422,12.0228865,22.917694,21.964079,21.39642,21.584249,22.40167
587727223008200352,322.57243607,12.0209168,23.185219,22.088736,21.691095,21.584942,21.249468
587727223008200365,322.57705336,12.0296062,24.964622,22.436073,21.833887,21.723869,21.880131
587727223008200389,322.58344189,12.02658967,23.791559,22.738445,22.268951,22.121164,21.739456
587727223008200440,322.59192273,12.03736317,23.904665,23.680288,22.727877,21.594856,20.681307
587727223008200441,322.59285932,12.03722534,23.631721,23.086056,22.188778,22.335051,22.26128
587727223008200445,322.59361431,12.03477845,24.938072,23.136187,22.169859,21.842144,21.944181
587727223008200490,322.60104832,12.04216044,23.317144,22.989012,22.74789,22.131737,22.86763
587727223008200494,322.60323683,12.04213514,23.153841,22.225794,21.752024,21.445145,21.377338
587727223008200812,322.53239167,12.00606687,23.096264,23.531738,22.619595,23.260225,22.092112
587727223008200815,322.53423082,12.00831029,23.463106,23.987553,22.573273,21.805847,21.375578
587727223008200817,322.53647479,12.00898368,24.693045,23.686726,22.626844,22.402649,21.558378
587727223008200838,322.55031595,12.01453156,23.534985,23.947651,22.285172,21.293821,20.555639
587727223008200903,322.58456416,12.03041732,24.674339,24.324139,22.626656,22.827847,21.926523
